UserID,ProjectID,StartDate,EndDate
1,1,19835,
2,1,20036,
3,1,20021,20074
4,1,19823,19987
5,1,19912,
6,1,19727,
7,1,19926,20008
8,1,20045,20135
9,1,19830,
10,1,19810,
11,1,19908,19979
13,1,19830,19990
14,1,19944,
15,1,19781,19945
16,1,19887,
17,1,20014,
18,1,20038,20191
19,1,20064,
20,1,19896,20038
21,1,19830,19957
22,1,19826,
23,1,19794,19916
24,1,19984,
25,1,20039,
26,1,19930,20074
27,1,19952,
28,1,19877,
29,1,19971,20061
30,1,20057,20146
31,1,19992,20120
32,1,19996,20030
33,1,19826,
34,1,19787,
35,1,19980,
36,1,19822,
37,1,20022,
38,1,19831,
39,1,19768,
40,1,20066,20128
41,1,19819,
42,1,19806,19825
44,1,20032,
45,1,20014,
46,1,19951,
47,1,19779,19899
48,1,20001,20176
49,1,19861,19894
50,1,19868,19942
51,1,20032,20040
52,1,19740,19906
53,1,19750,
54,1,19735,
55,1,19945,20112
56,1,19837,19858
57,1,19748,19903
58,1,19870,
59,1,19954,
60,1,19868,
61,1,19739,19791
62,1,19824,19946
63,1,19873,19990
64,1,19725,
65,1,19982,
66,1,19855,19856
67,1,19830,19861
68,1,19846,19885
69,1,20056,20113
70,1,19963,20107
71,1,19724,19883
72,1,20017,
73,1,19958,20095
74,1,19966,
75,1,19790,19820
76,1,19920,
77,1,20044,20124
78,1,19872,19889
79,1,19889,
80,1,20026,
81,1,19733,19811
82,1,19842,
83,1,19976,
84,1,19747,19807
85,1,19918,20001
86,1,19881,
87,1,19825,19929
88,1,20059,
89,1,19946,
90,1,19768,19790
91,1,19758,19838
92,1,19770,
93,1,20016,20028
94,1,19925,19986
95,1,19868,19900
96,1,19887,20043
97,1,20080,20131
98,1,19764,
99,1,19766,19886
100,1,19871,19990
101,1,20084,
102,1,19921,
103,1,19967,20077
104,1,19790,
105,1,20053,20066
106,1,19873,
107,1,19975,
108,1,19937,20021
109,1,19865,19971
110,1,19778,19826
111,1,19728,19823
112,1,19851,19903
113,1,19726,19768
114,1,20077,20108
115,1,19867,
116,1,19761,19932
117,1,19921,
118,1,19802,19852
119,1,19944,19980
120,1,19970,
121,1,20072,20151
122,1,19756,19912
123,1,19986,20037
124,1,19855,19925
125,1,19775,19815
126,1,19868,19902
127,1,19984,20056
128,1,19773,
129,1,19727,
130,1,19775,
131,1,19879,19940
132,1,19986,20155
133,1,19765,19888
134,1,20021,20200
135,1,19834,
136,1,20033,
137,1,19782,19870
138,1,19801,
139,1,19905,19945
140,1,20068,
141,1,19761,
142,1,19755,19759
143,1,20031,
144,1,20023,
145,1,19874,19965
146,1,19847,19893
147,1,20050,
148,1,19724,19901
149,1,19957,19990
150,1,19743,
151,1,19835,19966
152,1,19789,19815
153,1,19746,
154,1,19850,
155,1,19810,19987
156,1,19963,20134
157,1,19792,19821
158,1,20006,20140
159,1,20061,
160,1,19870,
161,1,19786,19955
162,1,19753,19823
163,1,19846,
164,1,19868,
165,1,19821,
166,1,19902,
167,1,19902,20032
168,1,19730,
169,1,19722,
170,1,19919,20027
171,1,19742,19919
172,1,19972,
173,1,19979,
174,1,19986,20038
175,1,20062,
176,1,19735,
177,1,20011,20101
178,1,19813,
179,1,19900,19993
180,1,20030,
181,1,19767,19844
182,1,19980,19995
183,1,19757,
184,1,20082,
185,1,20050,
186,1,20025,20060
187,1,19964,20026
188,1,19897,19977
